utla,year,population,pct_age_65plus,pct_age_15_44,international_in,intl_in_per_1000,asylum_supported,asylum_per_1000,diabetes_prev,hiv_prev,area_name,tb_count,tb_denominator,items_total,items_antituberculosis,items_oral_glucocorticoids,items_oral_hydrocortisone,items_oral_dexamethasone,items_inhaled_corticosteroids,items_conventional_dmards,items_transplant_immunosuppressants,items_proton_pump_inhibitors,items_statins,items_metformin,items_insulins,items_fluoroquinolones,items_all_antibacterials,items_vitamin_d,items_levothyroxine,mg_pred_equivalent,adq_antituberculosis,adq_oral_glucocorticoids,adq_oral_hydrocortisone,adq_oral_dexamethasone,adq_inhaled_corticosteroids,adq_conventional_dmards,adq_transplant_immunosuppressants,adq_proton_pump_inhibitors,adq_statins,adq_metformin,adq_insulins,adq_fluoroquinolones,adq_all_antibacterials,adq_vitamin_d,adq_levothyroxine,rate_total_items,rate_antituberculosis,rate_oral_glucocorticoids,rate_oral_hydrocortisone,rate_oral_dexamethasone,rate_inhaled_corticosteroids,rate_conventional_dmards,rate_transplant_immunosuppressants,rate_proton_pump_inhibitors,rate_statins,rate_metformin,rate_insulins,rate_fluoroquinolones,rate_all_antibacterials,rate_vitamin_d,rate_levothyroxine
E06000001,2011,92088,17.035878724698115,37.66071583702546,,,,,,0.499805629,Hartlepool,19.0,275391.0,1837017.566595343,8.625366529,12372.206723013,474.06697763,485.54910406199997,34056.768650557,3087.109595866,785.634645133,86402.24946283399,116317.373093198,23427.424621542,10488.837745349,1142.307539973,62152.086874423,21229.853905519998,49780.190052927,2953731.7097380543,,,,,,,,,,,,,,,,19948.501070664395,0.09366439198375467,134.35199725276908,5.147977778103552,5.272664234884023,369.828518922737,33.52347315465641,8.53134659383416,938.257421844692,1263.1110795456302,254.40257820282775,113.90015795053642,12.40452110994918,674.9205854663257,230.53876624011812,540.5719534893472
E06000001,2012,92344,17.51386121458893,37.25959455947327,144.0,1.55938664125444,,,6.01892787519252,0.557040989,Hartlepool,14.0,276205.0,1929883.07245224,12.705116393,13838.100752092001,545.2087564450001,464.130064178,36028.371387518,3470.033271567,807.1389974169999,92155.042361391,122521.335278579,25045.739459745,10690.360435899,983.968705818,67921.22127848401,23016.866160231,53422.017313607,3229415.7515730993,,,,,,,,,,,,,,,,20898.846405313176,0.1375846442974097,149.85381564684224,5.904105913161657,5.026098763081521,390.1538961656198,37.577246724930696,8.74056784866369,997.9537637679871,1326.7925937643918,271.22216342962184,115.76670315233258,10.65546982822923,735.5239244399637,249.25134454031664,578.5109732479317
E06000001,2013,92465,17.931109068296113,36.75877359000703,142.0,1.535716216946953,,,6.16733426308307,0.557465374,Hartlepool,17.0,276897.0,1979563.882674464,25.422200436,14297.167521204,559.850608429,401.093165242,36926.002911491996,3594.104051859,784.7851067060001,97257.324151504,126276.91108051801,26516.039835046002,11295.932476636,1083.285020371,68833.729863397,25373.443853283,53515.633947079004,3229250.973807998,,,,,,,,,,,,,,,,21408.79124722288,0.2749386301411345,154.6224790050722,6.054729988957984,4.337783650483966,399.3511373113286,38.86988646362407,8.487374754836965,1051.828520537544,1365.672536424788,286.76839706965876,122.1644133092089,11.715622347601794,744.4301072124264,274.41133243154707,578.7663867093387
E06000001,2014,92358,18.429372658567747,36.31629095476299,163.0,1.7648714783776176,128.5,1.391325061174993,6.30165342483499,0.522836745,Hartlepool,14.0,277167.0,2031985.0832388601,67.199456129,14877.970497339,602.6008841290001,414.546438028,37825.652275177,3750.2218924999997,690.672849357,103237.238372936,127359.042748558,27443.57567301,11596.516223652,1107.39492918,70216.552387781,27967.378567307,54367.117159711,3446904.822607511,,,,,2939432.446626673,,,4121250.371677006,6135844.8975625,1078175.7590083035,,12356.707223206047,769009.2280948911,,1384093.0229049188,22001.181091392842,0.7275975673899392,161.09021955151692,6.5246203266528084,4.488473527230992,409.55469234042533,40.605273961107855,7.478213574969142,1117.794217858074,1378.971423683471,297.1434599386085,125.56049528629894,11.99024371662444,760.2649731239417,302.81490035846383,588.6562848882717
E06000001,2015,92125,18.629036635006784,35.96417910447761,122.0,1.3242876526458616,132.75,1.4409769335142468,6.49360763190343,0.562239945,Hartlepool,11.0,276948.0,2035260.0722084427,119.8531760808,14467.77204151,684.3824668542001,375.656024829,38889.9288849562,3925.9920964044,672.9879932489999,107155.4309086648,127487.7195531996,28698.6764364646,12327.5215436888,948.3713725988,66551.5778008488,31600.117733672,54171.749461351596,3289716.015733893,,,,,2947412.4634783133,,,4360127.750881574,6145519.330729471,1106673.406469649,,11195.268464334235,745811.5068061654,,1379753.18423518,22092.37527498988,1.3009842722474898,157.04501537595658,7.42884631592076,4.077677338713704,422.14305438215683,42.615925062734334,7.305161392119402,1163.1525743138648,1383.855843182628,311.5188758367935,133.812988262565,10.294397531601627,722.4051864406925,343.0134896463718,588.0244174909263
E06000001,2016,92260,18.753522653370908,35.595057446347276,160.0,1.7342293518317797,167.5,1.8155213526988945,6.69988710242535,0.59975636,Hartlepool,10.0,276743.0,2066531.106799944,72.0693950915,13579.0487100205,830.8955607073,371.241276658,40249.8943234494,3820.5852614002,530.9614493982,111918.66522711271,128061.6502147892,30528.4966700623,12808.3270137747,913.9373826773,60899.771848213,35938.5586453228,55796.6502709404,3047623.721714395,,,,,2948305.887187761,,,4616525.294846029,6243899.403562078,1151248.2848112453,,10289.31588611064,688679.0736300433,,1414879.466836726,22398.993136786736,0.7811553771027531,147.18240526794386,9.006021685533275,4.0238594911987855,436.265925899083,41.411069384350746,5.7550558139843915,1213.0789640918351,1388.0517040406373,330.89634370325496,138.82860409467486,9.906106467345545,660.0885741189356,389.53564540779104,604.7761789609842
E06000001,2017,92306,18.963014321929236,35.19381188655125,157.0,1.700864515849457,195.5,2.117955495850757,6.86987347012705,0.603716612,Hartlepool,9.0,276691.0,2087100.3206787521,29.2809621457,13257.4707265403,959.144126821,446.85777777839996,42335.127943269305,3359.2383095313,487.6763785838,117062.22154547629,131881.1856693842,32472.7557583001,13382.9833631501,754.077723547,59274.072203666896,40276.2689912973,56886.008242830896,2926876.4067311985,,,,,2947226.151191212,,,4823190.994964291,6464463.0809239345,1193140.7756112854,,8194.527292238294,669973.9087931338,,1409662.3752764177,22610.668002933202,0.3172162388761294,143.62523266678548,10.390918540734079,4.841048011812883,458.6389610997043,36.392415547540786,5.283257627714341,1268.1973170268052,1428.7390383006978,351.79463694992853,144.9849778253862,8.169325109386172,642.1475549115647,436.3342468669133,616.2763876977758
E06000001,2018,92288,19.23868758668516,34.79000520110957,162.0,1.7553744798890432,268.5,2.909370665742025,7.07818718044483,0.814471066,Hartlepool,11.0,276854.0,2113272.335384805,25.4807150437,12845.3961006877,881.5500621427,356.9447746093,44085.906913428,3024.5744545219,452.103980926,121254.8120874511,140175.0310980958,36085.8865477137,13951.2448390218,744.2464057117,56005.1182199807,42448.5149312854,58416.85320475,2757608.4050342483,,,,,2927776.7449278254,,,4996238.054838886,6868655.444968957,1267478.755543311,,8904.5306681304,634979.0425203384,,1424141.0529567173,22898.668682654356,0.2760999809693568,139.18815122971242,9.552163468085775,3.867726839993282,477.6992340654039,32.77321487649424,4.8988382121836,1313.8740907534143,1518.8868660941378,391.0138538890614,151.17073551297895,8.064389798367069,606.8515757192778,459.95703592325543,632.9842796977938
E06000001,2019,92401,19.43485460114068,34.70741658640058,166.0,1.7965173537082932,305.25,3.3035356760208225,7.27660887905756,0.875073731,Hartlepool,7.0,276995.0,2140037.1927047884,42.1792812125,12326.981080717,905.7295801389,321.7388007028,44997.8088916189,2921.1856031593998,444.464406235,127228.45249484331,144753.8686847892,37443.0154309619,14385.3847635683,665.55955938,55873.4047019602,40136.978759307196,59981.278154818996,2634377.350243875,,,,,2792735.027283831,,,5232189.864789461,7243181.0325570535,1308748.4145696461,,8103.038714364515,618060.7542561102,,1436399.8128068126,23160.325025755006,0.4564807871397496,133.40744235145723,9.802162099316025,3.4819839688185192,486.9840033291729,31.614220659510174,4.8101687885953615,1376.9164023640794,1566.583356076116,405.2230541981353,155.68429739470676,7.202947580437441,604.6839828785425,434.3781859428707,649.1410066429908
E06000001,2020,92202,19.611288258389187,34.83655452159389,171.0,1.8546235439578318,319.0,3.4597947983774757,7.57260878489327,0.799527884,Hartlepool,10.0,276891.0,2188627.3742443407,76.0505732024,10815.687996520699,1020.7734884949,421.7026642561,47812.6549905094,2970.8812648496,426.8749669261,141257.1635830935,151443.5845418006,40108.9548197049,14645.024033576101,718.680262215,52744.4642108025,42623.187157054796,62621.9922119745,2371154.180926272,,,,,2760254.851388911,,,5600192.760814287,7427690.162886391,1331391.6334435737,,8539.876684159832,573245.0302102412,,1438711.8898430115,23737.309106574052,0.824825635044793,117.30426668099064,11.071055817605908,4.573682395784256,518.5641850557406,32.221440585340886,4.6297799063588645,1532.040124759696,1642.5195173835773,435.0117656851793,158.8362945877107,7.794627689366825,572.0533633847693,462.28050538008716,679.1825796834613
